name,venue,city,event_date,start_time,duration,ticket_price,age_limit,description,image_url,language,category,tags,total_slots
Coldplay Concert,Wankhede Stadium,Mumbai,30-10-2025,7:00 PM,3,5500,12,"Coldplay is performing live in Mumbai! Join us for a magical night filled with lights and music. Experience the band's greatest hits including 'Yellow', 'Paradise', 'Viva La Vida' and many more. This concert will feature stunning visual effects, confetti cannons, and the famous Xylobands that light up in sync with the music.",https://res.cloudinary.com/dtuae9b5x/image/upload/v1759557499/coldplay_dpcbao.jpg,English,Music,"Concert, Hip Hop, Rock Band, ",10
Stand-up Comedy Night,Delhi Club,Delhi,15-11-2025,8:00 PM,2,500,16,"Get ready for a night full of laughter with Anubhav Singh Bassi, one of India’s most loved stand-up comedians! Known for his witty storytelling and hilarious take on everyday life, Bassi brings his unique style of humor that resonates with audiences of all ages. From unforgettable tales of his college days, friendships, and career struggles, to sharp observations about society, his sets are packed with fun, relatability, and non-stop entertainment. Whether you’re a long-time fan or experiencing his comedy for the first time, this show guarantees endless laughs and a memorable evening. So grab your friends, book your tickets, and join us for an unforgettable stand-up experience with Anubhav Singh Bassi!",https://res.cloudinary.com/dtuae9b5x/image/upload/v1759558944/standUp_bcynab.png,Hindi,Stand Up,"Stand Up, Comedy",8
Art Exhibition,Banglore Art Gallery,Banglore,05-11-2025,5:00 PM,1.5,300,5,"Step into a world of creativity and inspiration at the Art Exhibition – Colors of Imagination, where talented artists from across India come together to showcase their masterpieces. Explore a diverse collection of paintings, sculptures, digital art, and mixed media that reflect the cultural richness and contemporary spirit of our times. The exhibition is a perfect destination for art lovers, collectors, students, and anyone who appraeciates creativity. Visitors will also get a chance to interact with artists, attend live art demonstrations, and participate in engaging workshops. Whether you are an art enthusiast or just looking for a refreshing experience, this exhibition promises to leave you inspired and amazed.",https://res.cloudinary.com/dtuae9b5x/image/upload/v1759559555/Art_nwwuvh.jpg,Hindi,Art,"Art, Exhibition",5
Rock Festival,Goa Beach,Goa,20-11-2025,7:30 PM,2.5,1000,12,"Get ready for an electrifying night as Goa turns into the ultimate destination for rock music lovers! The Goa Rock Festival 2025 brings together the most iconic rock bands and emerging indie artists from across India and beyond. With pulsating beats, roaring guitars, and an atmosphere like no other, this is the event every music enthusiast has been waiting for. Set against the scenic beaches of Goa, the festival promises more than just music – it’s an experience. Enjoy vibrant food stalls, beachside bars, and the company of thousands of music lovers under the starlit sky. Whether you’re a hardcore rocker or a casual music fan, the vibe of Goa’s nightlife, food stalls, beach shacks, and live performances will keep your adrenaline pumping. Join thousands of fans and make memories that will last a lifetime!",https://res.cloudinary.com/dtuae9b5x/image/upload/v1759560857/Rock_Festival_dleavg.jpg,Hindi,Plays,"Festival, Rock, Night",7
Classical Music Night,Chennai Audotorium,Chennai,21-11-2025,8:30 PM,2,700,11,"Immerse yourself in the timeless magic of Indian classical music at the Classical Music Night, hosted in the cultural heart of Chennai. This enchanting evening will feature renowned Carnatic musicians, instrumental maestros, and soulful vocalists performing traditional ragas that celebrate India’s heritage. The concert promises a serene yet powerful experience, where the sounds of the veena, mridangam, violin, and flute blend harmoniously with captivating vocals. Chennai, known as the hub of Carnatic music, sets the perfect stage for this spiritual and cultural journey.",https://res.cloudinary.com/dtuae9b5x/image/upload/v1759563694/music_qxb9oi.jpg,Hindi,Music,"Classical, Instruments, ",6
Food Festival,Hyderabad Grounds,Hyderabad,30-11-2025,6:00 PM,2.5,400,12,"Get ready to treat your taste buds at the Hyderabad Food Festival, a grand celebration of the city’s rich culinary heritage. From the world-famous Hyderabadi biryani to aromatic kebabs, spicy street food, and decadent desserts, this festival brings together the best flavors under one roof. The event will feature top chefs, local food stalls, and live cooking demonstrations, giving visitors a chance to taste, learn, and explore. Alongside food, enjoy live music, cultural performances, and interactive workshops that make this festival a perfect outing for families and friends.",https://res.cloudinary.com/dtuae9b5x/image/upload/v1759563730/food_fpkul5.webp,Hindi,Food,"Food, Festival",5
EDM Party,Banglore Club,Banglore,24-11-2025,9:30 PM,3,1200,16,"Get ready to lose yourself in the beats at the EDM Night, a high-energy party featuring top DJs spinning the hottest electronic dance music tracks. With pulsating lights, breathtaking visuals, and electrifying sound, this event promises a night of non-stop dancing and unforgettable vibes. Step into a world of music, where bass drops meet neon lights, and the crowd becomes one with the rhythm. Whether you’re a hardcore EDM fan or just love to party, this is the perfect escape to celebrate music, freedom, and life.",https://res.cloudinary.com/dtuae9b5x/image/upload/v1759607387/edm_fwcf2v.jpg,Hindi,Plays,"Party, Night Party, Club",9
Jazz Evening,Mumbai Jazz Club,Mumbai,10-12-2025,9:00 PM,2,799,15,"Step into an enchanting night filled with smooth melodies and soulful rhythms at the Jazz Evening. This event brings together some of the finest jazz musicians, blending classic tunes with modern improvisations to create an unforgettable musical experience. Set in an intimate ambiance, the evening will transport you through the rich history of jazz — from soothing saxophone solos to vibrant trumpet performances and heartfelt vocals. It’s the perfect night for music lovers, couples, and anyone seeking a classy, relaxing evening.",https://res.cloudinary.com/dtuae9b5x/image/upload/v1759564475/jazz_gpop5u.jpg,Hindi,Music,"Jazz, Music, Rock Band",4
Tech Talk 2025,Hyderabad Convention center,Hyderabad,12-12-2025,5:00 PM,1.5,349,12,"Join industry leaders, innovators, and tech enthusiasts for an inspiring Tech Talk where ideas meet innovation. This event brings together experts to discuss the latest trends in technology, including AI, blockchain, cybersecurity, IoT, and software development. Whether you’re a student, professional, or entrepreneur, this event offers a unique opportunity to learn from thought leaders, gain insights into emerging technologies, and network with like-minded individuals. Be ready for interactive sessions, live demos, and thought-provoking discussions that can inspire your next big idea.",https://res.cloudinary.com/dtuae9b5x/image/upload/v1759564666/tech_hukeau.jpg,English,Technology,"Tech, Talks , Event, ",5
Book Fair,Delhi Pragati Maidan,Delhi,14-12-2025,4:00 PM,2,249,12,"Step into a world of stories, knowledge, and imagination at the City Book Fair. Bringing together publishers, authors, and book lovers, this fair is a paradise for readers of all ages. From the latest bestsellers to rare editions, there’s something for everyone.
The event will feature book launches, author interactions, storytelling sessions, and workshops for both adults and children. Whether you’re a bibliophile or just looking for a cozy day out, this fair offers an enriching experience for the entire family.",https://res.cloudinary.com/dtuae9b5x/image/upload/v1759607556/book_fair_f6smfv.jpg,Hindi,Workshop,"Book Fair, Fair",4
Sports Marathon,Mumbai Marine Drive,Mumbai,15-12-2025,4:30 PM,2,499,16,"Push your limits and join the excitement of the City Sports Marathon, a premier running event that brings together athletes, fitness enthusiasts, and charity supporters. Whether you’re a seasoned runner or a beginner, this marathon offers a perfect challenge with scenic routes, great energy, and a sense of accomplishment. The event will feature multiple categories, including full marathon, half marathon, and fun runs. Along the route, participants will enjoy hydration stations, medical support, and cheer zones to keep their spirits high. It’s not just a race — it’s a celebration of health, endurance, and community.",https://res.cloudinary.com/dtuae9b5x/image/upload/v1759564865/sports_hpqjtu.jpg,English,Sports,"Sports, Marathon, Race",6
